benchmark,family,result,time
mbo_E15E22,20161105-Sturm-MBO,cvc5 interrupted by timeout.,1200.001
mbo_E15E23,20161105-Sturm-MBO,cvc5 interrupted by timeout.,1200.035
mbo_E15E24,20161105-Sturm-MBO,unsat,9.819
mbo_E15E25,20161105-Sturm-MBO,unsat,0.728
mbo_E15E26,20161105-Sturm-MBO,unsat,0.492
mbo_E15E27,20161105-Sturm-MBO,unsat,1.193
mbo_E15E28,20161105-Sturm-MBO,unsat,10.046
mbo_E15,20161105-Sturm-MBO,unsat,0.09
mbo_E16E17,20161105-Sturm-MBO,unsat,0.167
mbo_E16E18,20161105-Sturm-MBO,cvc5 interrupted by timeout.,1200.002
mbo_E16E19,20161105-Sturm-MBO,cvc5 interrupted by timeout.,1200.002
mbo_E16E20,20161105-Sturm-MBO,cvc5 interrupted by timeout.,1200.002
mbo_E16E21,20161105-Sturm-MBO,unsat,0.143
mbo_E16E22,20161105-Sturm-MBO,cvc5 interrupted by timeout.,1200.001
mbo_E16E23,20161105-Sturm-MBO,unsat,0.138
mbo_E16E24,20161105-Sturm-MBO,cvc5 interrupted by timeout.,1200.006
mbo_E16E25,20161105-Sturm-MBO,unsat,0.593
mbo_E16E26,20161105-Sturm-MBO,unsat,0.051
mbo_E16E27,20161105-Sturm-MBO,unsat,0.074
mbo_E16E28,20161105-Sturm-MBO,unsat,0.16
mbo_E16,20161105-Sturm-MBO,unsat,0.039
mbo_E17E18,20161105-Sturm-MBO,unsat,0.606
mbo_E17E19,20161105-Sturm-MBO,cvc5 interrupted by timeout.,1200.002
mbo_E17E20,20161105-Sturm-MBO,cvc5 interrupted by timeout.,1200.002
mbo_E17E21,20161105-Sturm-MBO,cvc5 interrupted by timeout.,1200.005
mbo_E17E22,20161105-Sturm-MBO,unsat,0.504
mbo_E17E23,20161105-Sturm-MBO,unsat,0.044
mbo_E17E24,20161105-Sturm-MBO,cvc5 interrupted by timeout.,1200.001
mbo_E17E25,20161105-Sturm-MBO,cvc5 interrupted by timeout.,1200.009
mbo_E17E26,20161105-Sturm-MBO,unsat,0.148
mbo_E17E27,20161105-Sturm-MBO,unsat,0.069
mbo_E17E28,20161105-Sturm-MBO,unsat,0.151
mbo_E17,20161105-Sturm-MBO,unsat,0.057
mbo_E18E19,20161105-Sturm-MBO,unsat,12.45
mbo_E18E20,20161105-Sturm-MBO,cvc5 interrupted by timeout.,1200.007
mbo_E18E21,20161105-Sturm-MBO,cvc5 interrupted by timeout.,1200.005
mbo_E18E22,20161105-Sturm-MBO,unsat,0.661
mbo_E18E23,20161105-Sturm-MBO,unsat,0.441
mbo_E18E24,20161105-Sturm-MBO,unsat,10.146
mbo_E18E25,20161105-Sturm-MBO,cvc5 interrupted by timeout.,1200.001
mbo_E18E26,20161105-Sturm-MBO,cvc5 interrupted by timeout.,1200.024
mbo_E18E27,20161105-Sturm-MBO,unsat,0.878
mbo_E18E28,20161105-Sturm-MBO,unsat,10.65
mbo_E18,20161105-Sturm-MBO,unsat,0.085
mbo_E19E20,20161105-Sturm-MBO,unsat,0.511
mbo_E19E21,20161105-Sturm-MBO,unsat,0.358
mbo_E19E22,20161105-Sturm-MBO,unsat,10.328
mbo_E19E23,20161105-Sturm-MBO,unsat,7.097
mbo_E19E24,20161105-Sturm-MBO,unsat,9.334
mbo_E19E25,20161105-Sturm-MBO,unsat,10.844
mbo_E19E26,20161105-Sturm-MBO,unsat,8.788
mbo_E19E27,20161105-Sturm-MBO,unsat,0.885
mbo_E19E28,20161105-Sturm-MBO,unsat,10.877
mbo_E19,20161105-Sturm-MBO,unsat,0.083
mbo_E1E10,20161105-Sturm-MBO,cvc5 interrupted by timeout.,1200.003
mbo_E1E11,20161105-Sturm-MBO,unsat,3.472
mbo_E1E12,20161105-Sturm-MBO,unsat,15.095
mbo_E1E13,20161105-Sturm-MBO,unsat,16.224
mbo_E1E14,20161105-Sturm-MBO,cvc5 interrupted by timeout.,1200.001
mbo_E1E15,20161105-Sturm-MBO,unsat,15.287
mbo_E1E16,20161105-Sturm-MBO,cvc5 interrupted by timeout.,1200.034
mbo_E1E17,20161105-Sturm-MBO,cvc5 interrupted by timeout.,1200.002
mbo_E1E18,20161105-Sturm-MBO,cvc5 interrupted by timeout.,1203.276
mbo_E1E19,20161105-Sturm-MBO,unsat,13.894
mbo_E1E20,20161105-Sturm-MBO,unsat,11.225
mbo_E1E21,20161105-Sturm-MBO,cvc5 interrupted by timeout.,1200.005
mbo_E1E22,20161105-Sturm-MBO,unsat,12.176
mbo_E1E23,20161105-Sturm-MBO,unsat,9.815
mbo_E1E24,20161105-Sturm-MBO,unsat,11.914
mbo_E1E25,20161105-Sturm-MBO,unsat,13.368
mbo_E1E26,20161105-Sturm-MBO,unsat,11.247
